city,country,Rent_Studio_Center,Transport_Monthly_Pass,Internet_60Mbps,Meal_Inexpensive,Meal_Restaurant_3Course,Transport_OneWay,Taxi_Start,Beer_Domestic,Cappuccino,Cinema,Avg_Monthly_Net_Salary,University,Program,Level,Duration_Years,Tuition_USD,Living_Cost_Index,Rent_USD,Visa_Fee_USD,Insurance_USD,Exchange_Rate,Cost_of_Living_Index,Purchasing_Power_Index,Student_Score,Tourist_Score,City_Is_Unique,Rent_to_Income_Ratio,Daily_Survival_Budget
kabul,afghanistan,108.92,15.25,715.63,1.69,5.65,0.23,0.56,4.1,0.93,1.86,195.86,No University Listed,,,,,,,,,,,,95.69,94.56,True,55.61,3.08
durres,albania,279.42,10.81,17.57,5.41,27.03,0.36,1.88,1.35,1.08,2.88,350.17,No University Listed,,,,,,,,,,,,95.53,86.37,True,79.8,7.21
tirana,albania,431.27,14.42,15.95,5.86,36.04,0.36,2.7,1.8,1.41,3.15,463.59,No University Listed,,,,,,,,,,37.25,35.89,93.46,80.99,True,93.03,7.99
vlore,albania,211.97,9.01,13.02,4.51,22.53,0.29,2.7,1.8,1.24,2.88,383.04,No University Listed,,,,,,,,,,,,96.5,83.39,True,55.34,6.33
algiers,algeria,234.56,10.85,27.77,2.53,21.7,0.29,0.36,1.81,1.0,2.39,285.56,University of Science and Technology,Computer Science,Bachelor,3.0,1200.0,38.5,250.0,80.0,200.0,137.5,33.44,36.42,96.37,91.86,True,82.14,4.11
constantine,algeria,147.07,10.85,69.32,2.53,14.47,0.29,0.29,2.1,0.82,2.31,269.43,University of Constantine,Data Analytics,PhD,4.0,1300.0,35.8,200.0,80.0,200.0,137.5,,,96.73,93.09,True,54.59,3.93
setif,algeria,101.26,4.34,29.53,1.63,14.47,0.18,0.22,0.69,0.3,2.03,226.63,No University Listed,,,,,,,,,,,,98.52,97.24,True,44.68,2.29
buenos aires,argentina,311.84,10.0,21.87,6.12,25.0,0.15,0.52,1.92,1.78,2.0,403.51,University of Buenos Aires,Software Engineering,Bachelor,5.0,0.0,42.6,400.0,150.0,300.0,821.5,38.57,59.76,96.99,89.14,True,77.28,8.2
buenos aires,argentina,311.84,10.0,21.87,6.12,25.0,0.15,0.52,1.92,1.78,2.0,403.51,University of Buenos Aires,Computer Science,PhD,4.0,0.0,42.5,350.0,90.0,280.0,275.0,38.57,59.76,96.99,89.14,False,77.28,8.2
cordoba,argentina,214.84,26.09,20.84,5.0,20.0,0.65,0.5,1.5,1.5,2.45,522.22,National University of Cordoba,Data Science,Master,2.0,0.0,39.8,280.0,90.0,280.0,275.0,,,94.75,89.58,True,41.14,7.8
yerevan,armenia,976.89,10.99,19.41,7.58,37.9,0.25,0.25,1.52,2.82,2.15,526.47,No University Listed,,,,,,,,,,33.16,33.43,90.22,85.68,True,185.55,10.9
adelaide,australia,1117.53,71.36,48.5,12.57,67.96,2.89,1.65,5.44,3.38,26.61,4144.98,University of Adelaide,Computer Science,Bachelor,3.0,32800.0,68.5,1100.0,450.0,650.0,1.52,72.92,127.17,58.64,50.13,True,26.96,21.73
adelaide,australia,1117.53,71.36,48.5,12.57,67.96,2.89,1.65,5.44,3.38,26.61,4144.98,University of Adelaide,Computer Science,Bachelor,3.0,39200.0,67.5,1400.0,450.0,650.0,1.52,72.92,127.17,53.99,50.13,False,26.96,21.73
adelaide,australia,1117.53,71.36,48.5,12.57,67.96,2.89,1.65,5.44,3.38,26.61,4144.98,University of Adelaide,Computer Science,Master,2.0,42200.0,67.5,1400.0,450.0,650.0,1.52,72.92,127.17,51.8,50.13,False,26.96,21.73
